region,dep_city,dep_date,dep_time,dep_time_slot,arr_city,arr_time,arr_time_slot,duration,nb_changes,train_name_1,train_name_2,standard_class_price,first_class_price
0,Paris,27-01-23,14:48,2,Nantes,16:50,3,7320,0,TGV Inoui,,66,79
0,Paris,27-01-23,15:31,2,Nantes,18:46,3,11700,1,TGV Inoui,SNCF,78,109
0,Paris,27-01-23,15:39,2,Nantes,17:54,3,8100,0,TGV Inoui,,75,99
0,Paris,27-01-23,15:48,2,Nantes,17:50,3,7320,0,Ouigo,,55,0
0,Paris,27-01-23,16:22,3,Nantes,18:20,3,7080,0,TGV Inoui,,75,99
0,Paris,27-01-23,16:31,3,Nantes,19:46,3,11700,1,TGV Inoui,SNCF,82.1,118.2
0,Paris,27-01-23,16:39,3,Nantes,18:54,3,8100,0,TGV Inoui,,95,113
0,Paris,27-01-23,16:56,3,Nantes,19:53,3,10620,1,TGV Inoui,SNCF,104,138.4
0,Paris,27-01-23,17:23,3,Nantes,19:20,3,7020,0,TGV Inoui,,95,127
,,,,,,,,,,,,,
0,Paris,28-01-23,6:15,1,Nantes,9:47,1,12720,1,TGV Inoui,SNCF,79.1,97.2
0,Paris,28-01-23,6:36,1,Nantes,11:15,1,16740,2,SNCF,SNCF,53.3,0
0,Paris,28-01-23,6:48,1,Nantes,9:52,1,11040,1,Ouigo,SNCF,37,58.4
0,Paris,28-01-23,7:00,1,Nantes,11:54,1,17640,1,BlablacarBus,TGV Inoui,37.49,39.49
0,Paris,28-01-23,7:00,1,Nantes,13:52,2,24720,1,BlablacarBus,SNCF,27.99,49.39
0,Paris,28-01-23,7:06,1,Nantes,11:05,1,14340,2,TGV Inoui,SNCF,53,0
0,Paris,28-01-23,7:20,1,Nantes,11:02,1,13320,0,Ouigo Classique,,19,0
0,Paris,28-01-23,7:20,1,Nantes,11:19,1,14340,1,Ouigo Classique,TGV Inoui,39,43.5
0,Paris,28-01-23,7:31,1,Nantes,11:02,1,12660,1,TGV Inoui,Ouigo Classique,42,0
0,Paris,28-01-23,7:37,1,Nantes,11:19,1,13320,1,SNCF,TGV Inoui,56,78.5
0,Paris,28-01-23,7:44,1,Nantes,9:59,1,8100,0,Ouigo,,25,0
0,Paris,28-01-23,7:44,1,Nantes,11:15,1,12660,2,Ouigo,SNCF,43,69.2
0,Paris,28-01-23,7:48,1,Nantes,9:54,1,7560,0,TGV Inoui,,38,46
0,Paris,28-01-23,7:48,1,Nantes,11:54,1,14760,2,TGV Inoui,SNCF,65.5,79.7
